Item,QTY Needed,QTY Purchased,  Price  ,Description,Link
MX Brown Switches,50,70, $24.99 ,Keyboard Switches!,https://www.amazon.com/Pre-lubed-Switches-Mechanical-Keyboard-Pcs-5pin/dp/B0CKTJLCDB
Cirque Trackpad,1,1, $27.00 ,Trackpad Module,https://shop.beekeeb.com/product/40mm-cirque-glidepoint-circle-trackpad-module-diy-kit-for-split-mechanical-keyboard/
RP2040-Plus,1,1, $6.99 ,Microcontroller,https://www.waveshare.com/rp2040-plus.htm?sku=23503
USB-C Connector,1,1, $12.99 ,USB-C adapter,https://www.amazon.com/Tciogrxp-Magnetic-Connector-Compatible-Thunderbolt/dp/B0DFM1B3DK/
Stabilizers,1,1, $16.98 ,Screw-In Stabilizers,https://www.amazon.com/DUROCK-Stabilizers-Translucent-Keyboard-Mechanical/dp/B0B2RVN19F/
Diodes,50,100, $6.99 ,SOD-123 1N4148W SMD Diodes,https://www.amazon.com/100-Pieces-1N4148W-Switching-High-Speed/dp/B079KJX5J9/
Rubber Feet,4,12, $5.99 ,Rubber Silicone Feet,https://www.amazon.com/Pack-Rubber-Silicone-Feet-Diameter/dp/B0927HC2TD/
Keycaps,1,1, $14.69 ,Low Profile Keycaps!,https://www.amazon.com/XVX-Profile-Keycaps-Keyboard-Mechanical/dp/B0C1B6STX4
Resistors,2,3250, $7.99 ,SMD resistors,https://www.amazon.com/Yobett-3250PCS-Resistor-Tolerance-Resistors/dp/B0BZGQ8136/
PCB (ordered from JLCPCB),1,5, $15.00 ,,
,,,,,
Sales Tax,,, $10.82 ,,
Shipping,,, $30.00 ,JLCPCB Shipping,
Shipping,,, $15.00 ,beekeeb Shipping,
,,,,,
TOTAL,,, $195.43 ,,
