Designator,Mid X,Mid Y,Rotation,Layer
D1,46.4344,-55.9594,90.0,bottom
D10,220.2658,-55.9594,90.0,bottom
D11,239.3158,-55.9594,90.0,bottom
D12,258.3658,-55.9594,90.0,bottom
D13,277.4159,-55.9594,90.0,bottom
D14,296.4659,-55.9594,90.0,bottom
D15,48.815625,-75.1454,90.0,bottom
D16,72.6282,-75.1454,90.0,bottom
D17,91.6782,-75.0094,90.0,bottom
D18,110.7282,-75.0094,90.0,bottom
D19,129.7782,-75.0094,90.0,bottom
D2,67.8657,-55.9594,90.0,bottom
D20,148.828125,-75.0094,90.0,bottom
D21,167.8783,-75.0094,90.0,bottom
D22,186.9283,-75.0094,90.0,bottom
D23,205.9783,-75.0094,90.0,bottom
D24,225.0283,-75.0094,90.0,bottom
D25,244.0783,-75.0094,90.0,bottom
D26,263.1283,-75.0094,90.0,bottom
D27,289.321875,-75.009375,90.0,bottom
D28,334.2881,-55.9594,90.0,bottom
D29,53.5782,-94.0595,90.0,bottom
D3,86.9157,-55.9594,90.0,bottom
D30,82.1532,-94.0595,90.0,bottom
D31,101.2032,-94.0595,90.0,bottom
D32,120.2532,-94.0595,90.0,bottom
D33,139.3032,-94.0595,90.0,bottom
D34,158.3533,-94.0595,90.0,bottom
D35,177.4033,-94.0595,90.0,bottom
D36,196.4533,-94.0595,90.0,bottom
D37,215.5033,-94.0595,90.0,bottom
D38,234.5533,-94.0595,90.0,bottom
D39,253.6033,-94.0595,90.0,bottom
D4,105.9657,-55.9594,90.0,bottom
D40,279.7971,-94.0595,90.0,bottom
D42,353.615625,-55.959375,90.0,bottom
D43,46.4344,-113.1095,90.0,bottom
D44,70.246875,-113.109375,90.0,bottom
D45,91.678125,-113.1095,90.0,bottom
D46,160.7345,-113.1095,90.0,bottom
D5,125.0157,-55.9594,90.0,bottom
D51,232.1721,-113.1095,90.0,bottom
D52,253.6033,-113.1095,90.0,bottom
D53,272.6534,-113.1095,90.0,bottom
D54,291.7034,-113.1095,90.0,bottom
D55,310.7534,-113.1095,90.0,bottom
D6,144.0657,-55.9594,90.0,bottom
D7,163.1158,-55.9594,90.0,bottom
D8,182.1658,-55.9594,90.0,bottom
D9,201.2158,-55.9594,90.0,bottom
R1,345.0888,-65.4844,0.0,bottom
R2,339.1356,-65.4844,90.0,bottom
SW1,42.8625,-50.2225,0.0,top
SW10,216.6938,-50.2225,0.0,top
SW11,235.7438,-50.2225,0.0,top
SW12,254.7938,-50.2225,0.0,top
SW13,273.8438,-50.2225,0.0,top
SW14,292.8938,-50.2225,0.0,top
SW15,45.2438,-69.2725,0.0,top
SW16,69.0563,-69.2725,0.0,top
SW17,88.1063,-69.2725,0.0,top
SW18,107.1563,-69.2725,0.0,top
SW19,126.2063,-69.2725,0.0,top
SW2,64.2938,-50.2225,0.0,top
SW20,145.2563,-69.2725,0.0,top
SW21,164.3063,-69.2725,0.0,top
SW22,183.3563,-69.2725,0.0,top
SW23,202.4063,-69.2725,0.0,top
SW24,221.4563,-69.2725,0.0,top
SW25,240.5063,-69.2725,0.0,top
SW26,259.5563,-69.2725,0.0,top
SW27,285.75,-69.2725,0.0,top
SW28,330.9938,-50.2225,0.0,top
SW29,50.0063,-88.3225,0.0,top
SW3,83.3438,-50.2225,0.0,top
SW30,78.5813,-88.3225,0.0,top
SW31,97.6313,-88.3225,0.0,top
SW32,116.6813,-88.3225,0.0,top
SW33,135.7313,-88.3225,0.0,top
SW34,154.7813,-88.3225,0.0,top
SW35,173.8313,-88.3225,0.0,top
SW36,192.8813,-88.3225,0.0,top
SW37,211.9313,-88.3225,0.0,top
SW38,230.9813,-88.3225,0.0,top
SW39,250.0313,-88.3225,0.0,top
SW4,102.3938,-50.2225,0.0,top
SW40,276.225,-88.3225,0.0,top
SW42,350.0438,-50.2225,0.0,top
SW43,42.8625,-107.3725,0.0,top
SW44,66.675,-107.3725,0.0,top
SW45,88.1063,-107.3725,0.0,top
SW46,157.1625,-107.3725,0.0,top
SW5,121.4438,-50.2225,0.0,top
SW51,228.6,-107.3725,0.0,top
SW52,250.0313,-107.3725,0.0,top
SW53,269.0813,-107.3725,0.0,top
SW54,288.1313,-107.3725,0.0,top
SW55,307.1813,-107.3725,0.0,top
SW6,140.4938,-50.2225,0.0,top
SW7,159.5438,-50.2225,0.0,top
SW8,178.5938,-50.2225,0.0,top
SW9,197.6438,-50.2225,0.0,top
U1,311.728125,-67.956875,0.0,top
